iter	RMSE
172	1481.108454
173	1474.549011
174	1470.095304
175	1460.806784
176	1455.302344
177	1447.794175
178	1443.693986
179	1438.951723
180	1433.96863
181	1424.380092
182	1416.941018
183	1410.220308
184	1405.165645
185	1398.660879
186	1389.525072
187	1383.328035
188	1377.586735
189	1373.224125
190	1368.084803
191	1362.996597
192	1357.226999
193	1351.3603
194	1346.01584
195	1339.802266
196	1333.635877
197	1330.034201
198	1326.062792
199	1320.196265
200	1313.572423
201	1307.408316
202	1303.345331
203	1297.358598
204	1293.002613
205	1290.070862
206	1285.344898
207	1280.550047
208	1273.925052
209	1270.297743
210	1265.579635
211	1260.688425
212	1255.906702
213	1252.445276
214	1247.569565
215	1242.537734
216	1237.606758
217	1232.44413
218	1226.225297
219	1221.31737
220	1217.098596
221	1214.806967
222	1210.293932
223	1205.710752
224	1202.064658
225	1199.275871
226	1195.302093
227	1191.160694
228	1187.860274
229	1182.876689
230	1178.791792
231	1175.156818
232	1171.580962
233	1167.371113
234	1163.788334
235	1160.432458
236	1157.327511
237	1155.209752
238	1151.941647
239	1147.95852
240	1144.942102
241	1141.566448
242	1138.793954
243	1137.291587
244	1132.893097
245	1129.029324
246	1125.888395
247	1123.095846
248	1120.40877
249	1117.837914
250	1114.83101
251	1107.835465
252	1104.810691
253	1099.910274
254	1097.650544
255	1092.265554
256	1089.413007
257	1085.546122
258	1083.505141
259	1079.345374
260	1076.630963
261	1073.045116
262	1066.90838
263	1063.102571
264	1060.547267
265	1057.017618
266	1051.021646
267	1048.309481
268	1045.672987
269	1042.344037
270	1038.804204
271	1037.445212
272	1035.4773
273	1031.284172
274	1029.185148
275	1023.137409
276	1020.920371
277	1017.84284
278	1013.79577
279	1008.80141
280	1006.280407
281	1003.255643
282	998.9943963
283	997.1350783
284	994.298218
285	992.1029522
286	990.7428314
287	987.1330071
288	983.5115279
289	980.7863799
290	978.6157938
291	976.6225158
292	973.8199532
293	969.8293225
294	964.8141409
295	962.7947177
296	961.34522
297	957.4095659
298	952.766995
299	949.3890993
300	947.6187827
301	944.5002934
302	943.2076963
303	939.7825434
304	938.5364642
305	934.3397059
306	932.2113589
307	926.6089448
308	924.4293975
309	922.997183
310	920.6522792
311	917.6374015
312	913.0835443
313	910.8701033
314	907.9344194
315	906.0653865
316	905.3424804
317	904.0933368
318	902.5095181
319	900.1564122
320	896.9424065
321	896.2145401
322	895.1976636
323	894.077848
324	893.2810139
325	892.496907
326	889.4053156
327	888.467131
328	887.6905608
329	886.1785628
330	884.1458638
331	883.3460308
332	880.086997
333	878.9023064
334	876.7771305
335	873.6618904
336	871.5297785
337	870.6803054
338	869.7978726
339	868.946904
340	867.0450113
341	863.4132219
342	862.4169435
343	858.1730665
344	856.2718454
345	852.9558873
346	852.139076
347	848.708681
348	845.5956341
349	844.7010805
350	844.0398099
351	841.7691419
352	840.8683017
353	837.5962874
354	833.909218
355	831.5992606
356	830.9785702
357	829.8229989
358	829.0441816
359	826.7797201
360	824.6028387
361	821.5886655
362	819.8446244
363	817.0646496
364	816.569492
365	814.9504394
366	814.3890116
367	813.8093408
368	811.0296164
369	808.1084167
370	805.8706951
371	802.6508247
372	799.0735163
373	797.6513948
374	797.1932439
375	796.3761764
376	793.1285745
377	790.7556953
378	789.7181804
379	786.772481
380	784.4310428
381	783.8544875
382	783.1469948
383	781.2759138
384	780.7070695
385	779.8136107
386	778.3600459
387	777.886799
388	776.7485266
389	775.5790962
390	774.472253
391	774.0186847
392	773.6308307
393	773.1861289
394	771.78457
395	771.4107052
396	770.3712369
397	767.8830688
398	765.0672748
399	763.73256
400	762.7085834
401	762.0586537
402	759.7993882
403	757.9408092
404	756.4348198
405	754.5928717
406	753.9171586
407	753.4718357
408	753.0050069
409	752.4039512
410	751.1788758
411	750.3201786
412	747.9547778
413	745.6269555
414	743.9684771
415	741.4204839
416	740.915421
417	739.1025089
418	738.7880321
419	737.6698271
420	736.4473357
421	736.010269
422	735.2742476
423	733.4644457
424	732.6229965
425	732.0108963
426	731.2997406
427	730.1116351
428	728.4497795
429	726.8547822
430	726.4125097
431	726.0307349
432	725.6997224
433	723.7537952
434	722.6755381
435	720.2461927
436	718.3490272
437	716.9623672
438	715.0883035
439	713.5605634
440	711.8669791
441	710.9869295
442	710.477668
443	708.3295784
444	708.0366739
445	707.011671
446	705.2482774
447	704.3461372
448	702.5455725
449	702.2775254
450	701.0028231
451	699.2192295
452	697.3840288
453	697.0813267
454	695.7341834
455	694.4570008
456	693.8823001
457	693.4390575
458	690.9089081
459	689.6334263
460	689.2422234
461	688.9435262
462	687.6198188
463	686.7365269
464	685.8350951
465	684.5363102
466	683.4979209
467	683.2254047
468	681.6440376
469	680.4072477
470	679.4772357
471	678.8673485
472	677.4469384
473	676.4987486
474	674.9635726
475	673.1809916
476	672.2823801
477	671.6524655
478	670.2955261
479	670.04467
480	668.8715491
481	667.7396635
482	667.5408622
483	666.4082368
484	665.6563429
485	664.5823788
486	664.3335929
487	664.1008715
488	663.7560375
489	662.6315012
490	661.5040658
491	660.5566334
492	659.3749604
493	659.1433047
494	658.3820069
495	656.9489009
496	656.6473045
497	655.3837881
498	654.4121688
499	653.7167218
500	653.4108671
501	652.3469682
502	651.3570753
503	650.2886117
504	649.2397286
505	648.4746965
506	648.264277
507	647.0003855
508	645.7439729
509	644.9490623
510	644.1043878
511	643.6121171
512	642.9711883
513	642.17869
514	641.9952372
515	641.7424434
516	640.7436102
517	640.308489
518	639.1768955
519	638.4851399
520	638.2943364
521	637.7828203
522	637.2631443
523	636.6420559
524	635.6474977
525	633.8815118
526	632.6389812
527	631.8704482
528	630.9344929
529	629.86848
530	628.7128137
531	628.5437415
532	627.8723179
533	627.3593239
534	626.0700202
535	624.6902768
536	623.3421709
537	623.1594783
538	622.831567
539	622.4053579
540	621.9391169
541	621.7623627
542	621.385434
543	620.7139643
544	620.2579744
545	619.5612846
546	618.9208608
547	618.7511813
548	617.6691166
549	616.9488551
550	615.9950806
551	615.2599299
552	615.1123332
553	614.312097
554	613.4971943
555	612.4993456
556	611.6735643
557	611.0140634
558	610.5837227
559	609.9042309
560	608.9687858
561	607.8667095
562	606.384685
563	605.6011981
564	604.9545338
565	604.7615094
566	604.6078573
567	603.924135
568	603.5753986
569	602.3540849
570	601.4754617
571	600.5847399
572	600.1788717
573	599.4266141
574	598.6820227
575	597.4623426
576	596.5739211
577	596.0192365
578	595.0716413
579	594.4483519
580	593.8126398
581	593.1238423
582	592.6802646
583	591.3237614
584	590.8039097
585	590.1126965
586	589.0285296
587	588.4117437
588	588.0374491
589	587.5754945
590	587.0050528
591	586.6443399
592	586.1252891
593	585.4353427
594	584.6450777
595	583.8858706
596	583.2364112
597	582.3354308
598	581.169163
599	580.6356097
600	579.446211
601	578.5834208
602	577.6174884
603	576.644687
604	576.0278787
605	575.1845304
606	575.0384883
607	574.2294483
608	572.9758442
609	572.5142989
610	571.8205626
611	571.0412749
612	570.718057
613	570.3855228
614	569.8028525
615	569.0090765
616	568.6233608
617	567.9605032
618	567.1675625
619	566.5804002
620	565.2221913
621	564.2545294
622	563.2636041
623	562.6452046
624	562.5390014
625	562.3842709
626	561.3880944
627	561.0394098
628	560.6968791
629	559.8970027
630	559.5424808
631	558.553665
632	558.0051867
633	557.1842059
634	556.9813444
635	556.1259515
636	555.3260807
637	555.0385733
638	553.8197981
639	553.1884834
640	552.6420488
641	551.9074181
642	551.6688535
643	551.0693072
644	550.3683145
645	549.8889338
646	548.8313663
647	548.2523879
648	547.879977
649	547.7820911
650	547.4448414
651	547.1783044
652	545.9603644
653	545.7384183
654	545.5842813
655	544.8799983
656	544.3630099
657	544.273061
658	543.7753836
659	543.1158178
660	542.6823849
661	541.9445736
662	541.3813352
663	540.8087673
664	540.2415085
665	540.161564
666	539.4769557
667	538.8650418
668	538.0060329
669	537.5381354
670	537.132289
671	536.5971643
672	536.1131928
673	535.7288144
674	535.3945416
675	535.1177451
676	534.9042454
677	534.2441783
678	534.1020804
679	533.4608935
680	532.9262162
681	532.565407
682	532.0215114
683	531.6091295
684	531.2070404
685	530.5859114
686	530.0389949
687	529.2024559
688	528.665342
689	528.2035285
690	527.6725923
691	527.1964612
692	527.0958069
693	526.7078325
694	526.1348679
695	525.7984118
696	525.3026395
697	524.7686794
698	524.3046805
699	523.9904645
700	523.5327952
701	523.1230567
702	522.5701471
703	521.8774207
704	521.0620827
705	520.2632883
706	519.9327987
707	519.6524118
708	519.3081937
709	518.8090104
710	518.5065264
711	518.0060159
712	517.5449093
713	517.0919826
714	516.6803295
715	516.4510886
716	516.2275805
717	515.9160962
718	515.7993922
719	515.3464234
720	515.0957576
721	514.822212
722	514.6333214
723	514.354454
724	514.0396873
725	513.4357055
726	513.1752706
727	512.450975
728	512.0553171
729	511.2348928
730	510.6243601
731	510.291122
732	510.1453696
733	509.5941518
734	509.1604874
735	508.4070803
736	508.2519858
737	508.0906587
738	507.7750181
739	507.4492057
740	507.1673436
741	506.8253481
742	506.5241462
743	506.0267026
744	505.6488323
745	505.28387
746	504.8776792
747	504.4866162
748	504.221155
749	503.9780897
750	503.7086833
751	503.4681766
752	503.2008361
753	502.6835488
754	502.5407704
755	502.2865946
756	502.0767378
757	501.7962851
758	501.714282
759	501.3842822
760	501.1374
761	500.7253436
762	500.3266415
763	499.7807014
764	499.4443783
765	498.8894266
766	498.7339475
767	498.3549544
768	497.7998542
769	497.6319133
770	497.5677202
771	497.3339167
772	496.9258648
773	496.6367144
774	496.4612763
775	496.2179883
776	496.0592016
777	495.8872284
778	495.6336766
779	495.429307
780	495.3396271
781	494.7436186
782	494.1422749
783	493.6648563
784	493.0190888
785	492.7658661
786	492.3166801
787	491.6435807
788	491.5555829
789	491.2469014
790	490.7682583
791	490.3647788
792	490.0523344
793	489.5523635
794	489.2414224
795	488.7185096
796	488.4627928
797	488.1087721
798	487.8472646
799	487.6994071
800	487.5061996
801	487.2519515
802	486.9058046
803	486.5367768
804	486.2215598
805	485.7730526
806	485.6627652
807	485.3206816
808	484.5386039
809	484.0984397
810	483.585633
811	483.2962143
812	483.1529031
813	483.0089444
814	482.5223476
815	482.1894368
816	481.9117035
817	481.7804408
818	481.426271
819	480.8447102
820	480.5222689
821	480.3877391
822	480.3367861
823	480.0688987
824	479.8831035
825	479.5366168
826	479.4061879
827	479.0905035
828	478.8425066
829	478.6201001
830	478.4542851
831	478.3247586
832	478.0862651
833	477.9942605
834	477.7172271
835	477.5373271
836	477.0477665
837	476.9579597
838	476.7150757
839	476.5268878
840	476.1308396
841	475.834719
842	475.7629785
843	475.5497455
844	475.3797525
845	475.1215098
846	474.8240232
847	474.58137
848	474.0264522
849	473.5000256
850	473.2878612
851	473.076844
852	472.9487827
853	472.4576649
854	472.2008996
855	471.9859395
856	471.7754618
857	471.4407025
858	471.2387556
859	470.863395
860	470.8075612
861	470.5646045
862	470.5137218
863	470.3566287
864	470.2399877
865	469.9477949
866	469.8742158
867	469.6052314
868	469.5665476
869	469.2987147
870	468.8978406
871	468.7127358
872	468.5424393
873	468.2408018
874	468.0231799
875	467.7405782
876	467.594753
877	467.27177
878	466.9586714
879	466.6488822
880	466.42497
881	466.3487555
882	466.0359409
883	465.7067945
884	465.591763
885	465.2476093
886	464.8780926
887	464.7471389
888	464.5710364
889	464.2975076
890	464.1570371
891	463.7958683
892	463.5670685
893	463.2862086
894	463.2364178
895	462.9942009
896	462.8795996
897	462.7323674
898	462.5219517
899	462.1324859
900	461.9952377
901	461.844515
902	461.6087733
903	461.4245506
904	461.046309
905	460.7876031
906	460.5802221
907	460.297373
908	460.0198853
909	459.9240069
910	459.7134355
911	459.5191
912	459.3259164
913	458.9428358
914	458.7835609
915	458.5189969
916	458.2950527
917	458.147491
918	457.9121098
919	457.6333288
920	457.5782284
921	457.4688997
922	457.2823506
923	457.22902
924	457.1786846
925	456.7248646
926	456.4612987
927	456.3620125
928	456.1954293
929	455.9027813
930	455.766333
931	455.6617898
932	455.5711581
933	455.4607851
934	455.3008352
935	454.9753658
936	454.8008465
937	454.7700505
938	454.6655154
939	454.5762548
940	454.3416956
941	454.1392107
942	453.7877135
943	453.7082904
944	453.4613033
945	453.2849333
946	453.0601086
947	452.8891321
948	452.7214168
949	452.4345369
950	452.2268133
951	452.1783667
952	451.9769259
953	451.8083718
954	451.505221
955	451.2830403
956	450.9923513
957	450.819639
958	450.3667661
959	450.2438643
960	450.2025452
961	449.9694475
962	449.6827137
963	449.4312841
964	449.2330565
965	449.1149363
966	449.0007154
967	448.7212165
968	448.6175108
969	448.3036406
970	448.0959333
971	447.9379427
972	447.7756857
973	447.5786004
974	447.4313501
975	447.2798112
976	447.1996733
977	446.9707716
978	446.7735903
979	446.4702151
980	446.2549565
981	446.0837243
982	445.9247269
983	445.8688095
984	445.5325095
985	445.4797207
986	445.2917441
987	445.2086256
988	445.0375827
989	444.7912451
990	444.7241012
991	444.4086612
992	444.2455631
993	444.0162563
994	443.9405951
995	443.7855745
996	443.4823166
997	443.3554661
998	443.2186931
999	442.9869181
