iter	Passed	Remaining
475	703	774
476	705	773
477	706	771
478	707	769
479	708	767
480	709	765
481	713	766
482	714	765
483	716	764
484	717	762
485	719	760
486	720	758
487	721	756
488	722	754
489	723	752
490	723	750
491	724	748
492	729	749
493	730	748
494	731	746
495	732	744
496	734	743
497	735	741
498	736	739
499	737	737
500	738	735
501	739	733
502	740	731
503	743	731
504	745	730
505	746	728
506	747	726
507	748	724
508	749	723
509	750	721
510	751	719
511	752	717
512	753	715
513	754	713
514	755	711
515	760	713
516	761	711
517	762	709
518	764	708
519	765	706
520	766	704
521	767	702
522	768	701
523	769	699
524	770	697
525	773	697
526	776	696
527	777	695
528	778	693
529	779	691
530	780	689
531	781	687
532	782	685
533	783	683
534	784	681
535	785	679
536	785	677
537	789	677
538	790	676
539	791	674
540	792	672
541	793	670
542	794	668
543	795	667
544	796	665
545	798	663
546	798	661
547	799	659
548	800	657
549	801	655
550	804	655
551	806	654
552	807	652
553	808	650
554	809	649
555	810	647
556	812	645
557	812	643
558	813	642
559	814	640
560	815	638
561	816	636
562	820	636
563	821	634
564	822	633
565	823	631
566	824	629
567	825	627
568	827	626
569	828	624
570	828	622
571	829	620
572	830	619
573	832	617
574	834	616
575	836	615
576	837	614
577	838	612
578	839	610
579	840	608
580	841	607
581	842	605
582	843	603
583	845	601
584	845	600
585	849	600
586	851	599
587	852	597
588	853	595
589	855	594
590	856	592
591	857	590
592	858	589
593	859	587
594	860	585
595	861	583
596	865	584
597	866	582
598	867	580
599	868	578
600	869	577
601	870	575
602	871	573
603	872	571
604	873	570
605	874	568
606	875	566
607	876	565
608	878	564
609	880	562
610	881	561
611	882	559
612	883	558
613	884	556
614	885	554
615	886	552
616	887	551
617	888	549
618	889	547
619	890	546
620	891	544
621	894	543
622	896	542
623	897	540
624	898	539
625	900	537
626	901	536
627	902	534
628	903	532
629	904	531
630	905	529
631	907	528
632	909	527
633	910	525
634	912	524
635	913	522
636	914	521
637	915	519
638	917	518
639	918	516
640	919	514
641	921	514
642	924	513
643	925	511
644	926	510
645	927	508
646	929	506
647	930	505
648	931	504
649	933	502
650	934	500
651	935	499
652	936	497
653	937	495
654	939	495
655	941	493
656	942	492
657	943	490
658	944	488
659	945	487
660	946	485
661	947	483
662	948	482
663	949	480
664	950	478
665	951	477
666	952	475
667	954	474
668	956	473
669	958	471
670	960	470
671	961	469
672	962	467
673	963	466
674	970	467
675	972	466
676	973	464
677	975	463
678	976	461
679	977	459
680	978	458
681	979	456
682	980	455
683	982	453
684	984	452
685	985	451
686	986	449
687	987	447
688	987	445
689	989	444
690	990	443
691	991	441
692	992	439
693	993	438
694	994	436
695	995	434
696	1000	435
697	1002	433
698	1003	432
699	1004	430
700	1006	429
701	1007	427
702	1008	425
703	1008	424
704	1009	422
705	1013	422
706	1015	420
707	1016	419
708	1017	417
709	1018	416
710	1019	414
711	1020	412
712	1022	411
713	1023	410
714	1024	408
715	1025	406
716	1026	405
717	1030	404
718	1032	403
719	1033	401
720	1034	400
721	1035	398
722	1036	397
723	1037	395
724	1038	393
725	1039	392
726	1040	390
727	1043	390
728	1045	388
729	1046	387
730	1047	385
731	1048	384
732	1049	382
733	1050	380
734	1051	379
735	1052	377
736	1053	376
737	1055	374
738	1055	372
739	1056	371
740	1058	370
741	1060	368
742	1062	367
743	1063	365
744	1064	364
745	1064	362
746	1066	361
747	1067	359
748	1068	357
749	1069	356
750	1069	354
751	1070	353
752	1071	351
753	1073	350
754	1076	349
755	1077	347
756	1078	346
757	1079	344
758	1080	342
759	1081	341
760	1082	339
761	1083	338
762	1084	336
763	1085	335
764	1086	333
765	1088	332
766	1091	331
767	1092	330
768	1093	328
769	1094	326
770	1097	326
771	1099	324
772	1100	323
773	1101	321
774	1102	320
775	1104	318
776	1106	317
777	1107	316
778	1108	314
779	1109	313
780	1111	311
781	1112	310
782	1113	308
783	1114	307
784	1115	305
785	1117	304
786	1118	302
787	1119	301
788	1121	299
789	1122	298
790	1123	296
791	1124	295
792	1125	293
793	1127	292
794	1137	293
795	1138	291
796	1140	290
797	1141	288
798	1142	287
799	1145	286
800	1148	285
801	1149	283
802	1154	283
803	1157	282
804	1158	280
805	1159	279
806	1160	277
807	1162	276
808	1165	275
809	1166	273
810	1167	272
811	1169	270
812	1170	269
813	1171	267
814	1173	266
815	1174	264
816	1175	263
817	1176	261
818	1179	260
819	1181	259
820	1183	257
821	1184	256
822	1186	255
823	1187	253
824	1188	252
825	1189	250
826	1190	249
827	1191	247
828	1195	246
829	1197	245
830	1198	243
831	1199	242
832	1200	240
833	1202	239
834	1204	237
835	1205	236
836	1210	235
837	1211	234
838	1212	232
839	1213	231
840	1215	229
841	1216	228
842	1217	226
843	1218	225
844	1219	223
845	1221	222
846	1224	221
847	1226	219
848	1227	218
849	1229	216
850	1230	215
851	1231	213
852	1232	212
853	1233	210
854	1234	209
855	1235	207
856	1236	206
857	1239	205
858	1241	203
859	1242	202
860	1243	200
861	1245	199
862	1246	197
863	1246	196
864	1247	194
865	1248	193
866	1249	191
867	1250	190
868	1251	188
869	1255	187
870	1256	186
871	1257	184
872	1258	183
873	1260	181
874	1261	180
875	1263	178
876	1264	177
877	1264	175
878	1265	174
879	1266	172
880	1270	171
881	1271	170
882	1272	168
883	1273	167
884	1275	165
885	1276	164
886	1277	162
887	1278	161
888	1279	159
889	1280	158
890	1282	156
891	1287	155
892	1290	154
893	1291	153
894	1292	151
895	1293	150
896	1294	148
897	1295	147
898	1297	145
899	1301	144
900	1302	143
901	1304	141
902	1305	140
903	1306	138
904	1308	137
905	1309	135
